tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
67.0,33.0,49.0,12,0,3,18,0,4,39.0,23.0,29.0,67.0,30.0,49.0,67.0,33.0,49.0,30.06,29.91,0.0,0.0,0.0,2024-01-01
61.0,38.0,48.0,9,0,2,11,0,2,42.0,34.0,38.0,61.0,38.0,48.0,61.0,38.0,48.0,30.16,30.01,0.0,0.0,0.0,2024-01-02
67.0,34.0,50.0,13,0,3,16,0,4,40.0,30.0,35.0,67.0,31.0,50.0,67.0,34.0,50.0,30.11,29.84,-0.01,0.0,0.0,2024-01-03
52.0,33.0,42.0,15,0,2,20,0,3,37.0,28.0,32.0,52.0,33.0,42.0,52.0,33.0,42.0,30.05,29.86,0.01,0.0,0.0,2024-01-04
57.0,30.0,41.0,9,0,2,11,0,2,34.0,26.0,29.0,57.0,25.0,41.0,57.0,30.0,41.0,30.06,29.93,0.0,0.0,0.0,2024-01-05
59.0,26.0,41.0,6,0,1,9,0,2,32.0,23.0,26.0,59.0,25.0,41.0,59.0,26.0,41.0,30.1,29.94,0.0,0.0,0.0,2024-01-06
57.0,34.0,42.0,21,0,4,27,0,6,41.0,14.0,25.0,57.0,28.0,41.0,57.0,34.0,42.0,29.94,29.62,0.0,0.31,0.16,2024-01-07
45.0,25.0,34.0,12,0,2,16,0,3,22.0,14.0,19.0,45.0,23.0,34.0,45.0,25.0,34.0,30.16,29.82,0.01,0.0,0.0,2024-01-08
53.0,21.0,35.0,10,0,2,13,0,2,24.0,15.0,20.0,53.0,16.0,35.0,53.0,21.0,35.0,30.18,29.93,-0.01,0.0,0.0,2024-01-09
62.0,27.0,44.0,12,0,3,15,0,4,28.0,19.0,23.0,62.0,23.0,44.0,62.0,27.0,44.0,29.95,29.81,-0.01,0.0,0.0,2024-01-10
52.0,28.0,44.0,20,0,5,26,0,7,41.0,21.0,28.0,52.0,24.0,43.0,52.0,28.0,44.0,30.06,29.75,0.01,0.07,0.02,2024-01-11
57.0,20.0,36.0,9,0,2,9,0,2,26.0,7.0,18.0,57.0,20.0,36.0,57.0,20.0,36.0,30.13,29.98,0.0,0.0,0.0,2024-01-12
68.0,27.0,42.0,7,0,2,9,0,2,25.0,14.0,20.0,68.0,23.0,42.0,68.0,27.0,42.0,30.03,29.93,0.0,0.0,0.0,2024-01-13
69.0,37.0,50.0,12,0,3,16,0,4,34.0,17.0,25.0,69.0,34.0,50.0,69.0,37.0,50.0,29.97,29.85,0.0,0.0,0.0,2024-01-14
69.0,29.0,46.0,9,0,2,13,0,3,33.0,22.0,28.0,69.0,27.0,46.0,69.0,29.0,46.0,30.03,29.92,0.0,0.0,0.0,2024-01-15
72.0,32.0,47.0,8,0,2,11,0,3,33.0,24.0,27.0,72.0,29.0,47.0,70.0,32.0,47.0,30.05,29.95,0.0,0.0,0.0,2024-01-16
73.0,33.0,49.0,12,0,3,15,0,4,29.0,11.0,26.0,73.0,30.0,49.0,71.0,33.0,49.0,30.02,29.9,0.0,0.0,0.0,2024-01-17
