tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
68,30,48,5,0,0,8,0,1,37,22,28,68,30,48,68,30,48,29.98,29.82,0.0,0.0,0.0,2024-01-01
61,37,48,5,0,0,7,0,1,42,33,38,61,37,48,61,37,48,30.07,29.93,0.0,0.0,0.0,2024-01-02
71,31,49,6,0,1,9,0,1,41,30,34,71,31,49,70,31,49,30.02,29.76,-0.01,0.0,0.0,2024-01-03
54,33,43,5,0,0,8,0,1,38,28,32,54,33,43,54,33,43,29.96,29.77,0.01,0.0,0.0,2024-01-04
58,27,41,4,0,0,6,0,0,35,26,29,58,27,41,58,27,41,29.97,29.85,0.0,0.0,0.0,2024-01-05
60,24,40,3,0,0,5,0,0,33,22,26,60,24,40,60,24,40,30.01,29.84,0.0,0.0,0.0,2024-01-06
57,33,42,8,0,1,14,0,2,41,9,24,57,30,42,57,33,42,29.84,29.53,0.0,0.35,0.06,2024-01-07
46,25,35,5,0,0,8,0,1,23,15,19,46,25,35,46,25,35,30.08,29.74,0.01,0.0,0.0,2024-01-08
54,20,35,4,0,0,6,0,0,28,13,20,54,20,35,54,20,35,30.09,29.84,-0.01,0.0,0.0,2024-01-09
66,25,44,5,0,1,8,0,1,28,20,23,66,25,44,66,25,44,29.86,29.72,-0.01,0.0,0.0,2024-01-10
54,27,44,7,0,1,13,0,2,43,19,28,54,27,44,54,27,44,29.97,29.64,0.01,0.12,0.04,2024-01-11
58,20,36,5,0,0,7,0,1,29,1,18,58,20,36,58,20,36,30.04,29.89,0.0,0.0,0.0,2024-01-12
71,24,43,3,0,0,3,0,0,26,13,19,71,24,43,70,24,43,29.95,29.84,0.0,0.07,0.01,2024-01-13
71,35,51,4,0,1,7,0,1,34,19,25,71,35,51,70,35,51,29.88,29.76,0.0,0.0,0.0,2024-01-14
71,27,47,6,0,0,9,0,1,34,23,27,71,27,47,70,27,46,29.94,29.84,0.0,0.0,0.0,2024-01-15
73,27,47,4,0,0,7,0,1,32,22,26,73,27,47,71,27,47,29.97,29.87,0.0,0.0,0.0,2024-01-16
78,29,51,4,0,0,6,0,1,31,18,24,78,29,51,76,29,51,29.93,29.81,0.0,0.0,0.0,2024-01-17
81,34,54,4,0,0,6,0,0,34,24,28,81,34,54,79,34,53,30.0,29.89,0.0,0.0,0.0,2024-01-18
79,34,53,3,0,0,3,0,0,37,27,30,79,34,53,77,34,53,29.99,29.85,0.0,0.0,0.0,2024-01-19
79,37,56,5,0,0,8,0,1,46,22,30,79,37,56,78,37,55,29.89,29.75,0.0,0.07,0.01,2024-01-20
57,48,52,5,0,0,7,0,1,53,38,48,57,48,52,57,48,52,29.84,29.75,0.0,1.06,1.29,2024-01-21
64,44,50,5,0,0,9,0,1,51,43,47,64,44,50,64,44,50,29.84,29.71,0.0,0.24,0.28,2024-01-22
56,42,47,5,0,0,9,0,1,51,42,45,56,42,47,56,42,47,29.84,29.68,0.0,1.13,1.12,2024-01-23
59,44,50,3,0,0,3,0,0,49,39,44,59,44,50,59,44,50,29.97,29.82,0.01,0.12,0.03,2024-01-24
67,37,50,4,0,0,5,0,1,49,36,42,67,37,50,67,37,50,29.98,29.85,0.0,0.0,0.0,2024-01-25
62,37,49,4,0,1,8,0,1,49,37,41,62,37,49,62,37,49,30.1,29.93,0.01,0.0,0.0,2024-01-26
74,34,50,3,0,0,3,0,0,43,31,37,74,34,50,72,34,50,30.1,29.97,0.0,0.0,0.0,2024-01-27
74,39,54,4,0,0,6,0,1,44,32,37,74,39,54,73,39,54,30.07,29.98,0.0,0.0,0.0,2024-01-28
82,38,57,4,0,0,6,0,0,43,30,37,82,38,57,80,38,57,30.06,29.92,0.0,0.0,0.0,2024-01-29
80,41,56,4,0,0,7,0,0,45,33,39,80,41,56,79,41,56,30.0,29.91,0.0,0.0,0.0,2024-01-30
79,39,57,3,0,0,3,0,0,49,38,42,79,39,57,77,39,57,29.98,29.84,0.0,0.0,0.0,2024-01-31
