tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
68,38,50,14,0,2,17,0,2,41,13,25,68,36,50,68,38,50,30.11,29.97,0.0,0.07,0.02,2024-01-01
59,40,48,7,0,1,10,0,2,39,33,36,59,39,48,59,40,48,30.2,30.06,0.0,0.0,0.0,2024-01-02
65,36,50,13,0,2,20,0,3,38,26,33,65,36,50,65,36,50,30.14,29.89,-0.01,0.0,0.0,2024-01-03
50,36,42,12,0,3,16,0,4,37,26,32,48,34,41,50,36,42,30.08,29.9,0.01,0.0,0.0,2024-01-04
54,35,43,11,0,2,15,0,3,33,23,29,54,33,42,54,35,43,30.09,29.99,0.0,0.0,0.0,2024-01-05
56,33,43,8,0,2,11,0,2,31,21,26,56,33,42,56,33,43,30.14,29.97,0.0,0.0,0.0,2024-01-06
54,32,41,20,0,4,25,0,6,37,3,21,54,27,39,54,32,41,29.98,29.67,-0.01,0.24,0.26,2024-01-07
43,29,35,11,0,3,15,0,4,23,13,17,43,24,32,43,29,35,30.2,29.84,0.01,0.07,0.04,2024-01-08
52,25,37,6,0,1,7,0,2,25,12,19,52,22,37,52,25,37,30.2,29.97,-0.01,0.0,0.0,2024-01-09
60,29,44,10,0,2,13,0,2,25,17,21,60,29,44,60,29,44,29.99,29.85,-0.01,0.0,0.0,2024-01-10
50,32,41,21,0,5,27,0,6,38,18,25,48,28,39,50,32,41,30.09,29.77,0.01,0.12,0.03,2024-01-11
56,27,40,6,0,1,8,0,2,20,-3,14,56,27,40,56,27,40,30.16,30.02,0.0,0.0,0.0,2024-01-12
67,30,46,7,0,1,9,0,1,22,8,15,67,30,46,67,30,46,30.07,29.98,0.0,0.0,0.0,2024-01-13
66,38,51,12,0,2,14,0,3,29,16,23,66,36,51,66,38,51,30.02,29.89,0.0,0.0,0.0,2024-01-14
65,36,49,10,0,1,13,0,2,29,25,26,65,36,49,65,36,49,30.07,29.98,0.0,0.0,0.0,2024-01-15
66,36,50,7,0,1,8,0,2,28,20,25,66,36,50,66,36,50,30.1,30.02,0.0,0.0,0.0,2024-01-16
73,39,54,12,0,2,16,0,2,31,17,24,73,39,54,70,39,54,30.07,29.95,0.0,0.0,0.0,2024-01-17
74,42,57,9,0,1,13,0,2,32,21,26,74,42,57,72,42,57,30.14,30.03,0.0,0.0,0.0,2024-01-18
75,43,58,6,0,1,8,0,2,33,26,29,75,43,58,73,43,57,30.12,29.99,0.0,0.0,0.0,2024-01-19
71,44,59,13,0,1,16,0,2,38,18,27,71,44,59,70,44,58,30.02,29.89,0.0,0.0,0.0,2024-01-20
57,47,51,9,0,1,10,0,1,51,37,46,57,46,51,57,47,51,29.98,29.89,0.0,0.38,1.21,2024-01-21
60,45,51,7,0,1,9,0,1,48,41,46,60,44,51,60,45,51,29.97,29.84,0.0,0.14,0.11,2024-01-22
54,42,48,12,0,3,15,0,4,46,40,43,54,37,47,54,42,48,29.97,29.82,0.0,0.38,0.63,2024-01-23
57,43,49,7,0,1,7,0,1,46,38,43,57,43,49,57,43,49,30.1,29.96,0.01,0.07,0.03,2024-01-24
62,39,50,11,0,2,13,0,2,45,38,42,62,39,50,62,39,50,30.11,29.98,0.0,0.0,0.0,2024-01-25
60,41,49,7,0,2,9,0,2,45,36,41,60,41,49,60,41,49,30.23,30.06,0.01,0.0,0.0,2024-01-26
69,40,55,7,0,1,11,0,2,39,30,33,69,40,55,69,40,55,30.24,30.13,0.0,0.0,0.0,2024-01-27
72,50,60,6,0,2,10,0,3,34,26,31,72,50,60,70,50,60,30.2,30.14,0.0,0.0,0.0,2024-01-28
81,46,62,7,0,1,10,0,2,38,28,33,81,46,62,79,46,61,30.2,30.07,0.0,0.0,0.0,2024-01-29
75,48,59,8,0,1,10,0,2,41,30,35,75,48,59,73,48,59,30.13,30.05,0.0,0.0,0.0,2024-01-30
74,46,60,7,0,2,8,0,2,44,32,40,74,46,60,73,46,59,30.12,29.99,0.0,0.0,0.0,2024-01-31
75,48,61,20,0,4,26,0,6,46,32,40,75,44,61,74,48,61,30.01,29.78,-0.01,0.12,0.06,2024-02-01
54,42,47,16,0,5,24,0,7,46,35,41,54,37,45,54,42,47,29.92,29.77,0.0,0.5,0.49,2024-02-02
56,39,47,11,0,4,14,0,5,40,27,35,56,37,46,56,39,47,30.03,29.91,0.0,0.0,0.0,2024-02-03
67,38,52,7,0,1,10,0,2,37,22,30,67,38,52,67,38,52,30.12,29.99,0.0,0.0,0.0,2024-02-04
75,43,58,9,0,2,9,0,2,39,24,32,75,42,58,73,43,58,30.07,29.87,-0.01,0.0,0.0,2024-02-05
72,47,61,32,0,8,39,0,10,45,15,30,72,41,61,70,47,61,29.9,29.74,0.0,0.05,0.01,2024-02-06
54,36,44,20,0,4,25,0,6,44,33,38,54,33,43,54,36,44,30.02,29.81,0.01,0.31,0.36,2024-02-07
59,35,45,19,0,3,24,0,4,42,27,34,59,33,44,59,35,45,30.05,29.89,0.0,0.19,0.19,2024-02-08
56,36,44,10,0,1,13,0,2,41,35,37,56,36,44,56,36,44,30.06,29.89,-0.01,0.19,0.09,2024-02-09
44,32,39,14,0,3,22,0,3,38,31,34,44,27,38,44,32,39,30.01,29.84,0.0,0.35,0.52,2024-02-10
57,35,42,9,0,1,11,0,2,38,26,33,57,31,42,57,35,42,30.14,30.01,0.01,0.12,0.09,2024-02-11
68,31,47,6,0,1,7,0,1,37,28,32,68,31,47,68,31,47,30.13,29.96,-0.01,0.0,0.0,2024-02-12
69,35,51,13,0,2,18,0,2,36,13,30,69,35,51,69,35,51,30.03,29.91,0.0,0.0,0.0,2024-02-13
67,38,51,9,0,1,11,0,2,35,15,30,67,38,51,67,38,51,30.15,30.02,0.0,0.0,0.0,2024-02-14
72,40,54,9,0,2,11,0,2,33,15,27,72,40,54,70,40,54,30.16,30.02,0.0,0.0,0.0,2024-02-15
68,39,53,10,0,2,11,0,2,35,25,31,68,39,53,68,39,53,30.11,30.01,0.0,0.0,0.0,2024-02-16
72,42,55,7,0,1,9,0,2,38,29,34,72,42,55,70,42,55,30.07,29.98,0.0,0.0,0.0,2024-02-17
73,44,56,11,0,2,15,0,3,37,27,34,73,44,56,71,44,56,30.07,29.97,0.0,0.0,0.0,2024-02-18
75,41,58,8,0,2,13,0,2,35,16,26,75,41,58,72,41,58,30.15,30.04,0.0,0.0,0.0,2024-02-19
80,44,61,12,0,2,15,0,3,30,6,19,80,44,61,78,44,61,30.18,30.07,0.0,0.0,0.0,2024-02-20
68,46,57,17,0,4,23,0,5,39,13,27,68,46,57,68,46,57,30.12,29.99,0.0,0.0,0.0,2024-02-21
67,41,54,9,0,2,11,0,2,44,35,39,67,41,54,67,41,54,30.17,30.05,0.0,0.0,0.0,2024-02-22
74,43,57,9,0,1,10,0,2,40,31,38,74,43,57,72,43,57,30.12,29.98,0.0,0.0,0.0,2024-02-23
78,44,60,9,0,2,11,0,2,40,23,35,78,44,60,77,44,60,30.12,30.04,0.0,0.0,0.0,2024-02-24
85,50,66,12,0,2,15,0,3,41,30,37,85,50,66,82,50,65,30.14,30.01,0.0,0.0,0.0,2024-02-25
76,60,67,14,0,3,20,0,4,47,32,37,76,60,67,74,60,66,30.12,29.89,-0.01,0.0,0.0,2024-02-26
68,53,62,15,0,4,20,0,5,40,29,37,68,53,62,68,53,62,30.02,29.87,0.0,0.0,0.0,2024-02-27
68,44,53,12,0,2,16,0,2,50,40,44,68,43,53,68,44,53,30.06,29.93,0.0,0.31,0.43,2024-02-28
68,41,53,9,0,1,10,0,2,46,36,42,68,41,53,68,41,53,30.14,30.04,0.0,0.07,0.01,2024-02-29
75,43,58,9,0,2,10,0,2,44,18,37,75,43,58,73,43,58,30.15,30.03,0.0,0.0,0.0,2024-03-01
73,45,59,16,0,4,21,0,5,37,16,27,73,45,59,71,45,59,30.07,29.94,0.0,0.0,0.0,2024-03-02
71,43,57,14,0,3,20,0,3,41,19,30,71,42,57,70,43,56,30.02,29.89,0.0,0.0,0.0,2024-03-03
68,44,56,11,0,2,14,0,3,42,32,38,68,44,56,68,44,56,30.02,29.94,0.0,0.0,0.0,2024-03-04
72,42,56,11,0,2,15,0,2,39,23,34,72,42,56,70,42,56,30.04,29.92,0.0,0.0,0.0,2024-03-05
64,48,56,7,0,1,10,0,2,38,24,31,64,48,56,64,48,56,29.96,29.81,0.0,0.0,0.0,2024-03-06
58,39,46,18,0,3,22,0,3,47,24,37,58,35,46,58,39,46,29.97,29.8,0.0,0.4,0.57,2024-03-07
58,43,48,13,0,2,18,0,2,46,38,41,58,41,48,58,43,48,30.09,29.94,0.0,0.07,0.02,2024-03-08
71,39,54,7,0,1,13,0,2,43,22,37,71,39,54,70,39,54,30.13,30.0,0.0,0.0,0.0,2024-03-09
76,51,61,9,0,2,11,0,3,34,24,30,76,51,61,74,51,61,30.1,29.97,0.0,0.0,0.0,2024-03-10
74,46,60,11,0,3,15,0,4,37,23,29,74,46,60,72,46,60,30.05,29.97,0.0,0.0,0.0,2024-03-11
75,44,60,14,0,3,16,0,4,35,16,27,75,44,60,72,44,59,30.08,29.95,0.0,0.0,0.0,2024-03-12
71,46,58,18,0,5,24,0,7,37,28,34,71,45,58,70,46,58,29.97,29.81,-0.01,0.0,0.0,2024-03-13
71,45,58,13,0,3,16,0,4,40,29,35,71,44,58,70,45,58,29.85,29.68,0.0,0.0,0.0,2024-03-14
62,45,53,20,0,4,30,0,6,48,31,40,62,45,53,62,45,53,29.97,29.76,0.01,0.12,0.03,2024-03-15
63,39,50,9,0,2,11,0,3,44,26,35,63,37,50,63,39,50,30.0,29.9,0.0,0.0,0.0,2024-03-16
65,38,51,12,0,2,16,0,3,37,28,34,65,38,51,65,38,51,30.02,29.92,0.0,0.0,0.0,2024-03-17
73,40,56,11,0,2,14,0,3,38,23,34,73,40,56,71,40,56,30.03,29.92,0.0,0.0,0.0,2024-03-18
71,42,57,12,0,2,15,0,3,38,22,33,71,42,57,70,42,57,30.05,29.95,0.0,0.0,0.0,2024-03-19
71,47,59,11,0,2,16,0,3,37,29,33,71,47,59,70,47,59,30.02,29.93,0.0,0.0,0.0,2024-03-20
73,46,60,12,0,3,14,0,3,38,33,36,73,46,60,71,46,60,30.1,30.0,0.0,0.0,0.0,2024-03-21
79,47,63,9,0,2,10,0,2,37,30,34,79,47,63,77,47,62,30.11,29.96,0.0,0.0,0.0,2024-03-22
72,56,63,14,0,4,20,0,6,41,23,32,72,56,63,70,56,63,29.98,29.69,-0.01,0.0,0.0,2024-03-23
58,41,50,22,1,9,29,1,12,45,27,35,58,34,48,58,41,50,29.79,29.63,0.0,0.47,0.27,2024-03-24
59,41,48,15,0,5,17,0,7,38,28,34,59,35,47,59,41,48,29.94,29.73,0.01,0.0,0.0,2024-03-25
61,41,50,14,0,3,18,0,5,43,28,34,61,40,49,61,41,50,30.06,29.89,0.01,0.28,0.14,2024-03-26
68,39,54,9,0,1,11,0,2,42,28,36,68,39,54,68,39,54,30.19,30.05,0.0,0.0,0.0,2024-03-27
77,42,62,8,0,2,10,0,2,37,21,32,77,42,62,75,42,61,30.1,29.92,-0.01,0.0,0.0,2024-03-28
