tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
68,35,50,14,0,2,14,0,3,37,22,28,68,31,50,68,35,50,30.1,29.95,0.0,0.0,0.0,2024-01-01
66,39,51,5,0,1,5,0,1,42,34,38,66,39,51,66,39,51,30.22,30.06,0.0,0.0,0.0,2024-01-02
70,37,52,14,0,4,14,0,5,39,29,35,70,33,52,70,37,52,30.16,29.88,-0.01,0.0,0.0,2024-01-03
58,35,45,11,0,2,11,0,2,40,28,33,58,34,45,58,35,45,30.08,29.9,0.01,0.0,0.0,2024-01-04
60,31,44,7,0,2,7,0,2,34,28,31,60,26,43,60,31,44,30.1,29.97,0.0,0.0,0.0,2024-01-05
61,30,43,7,0,2,7,0,2,33,22,28,61,24,43,61,30,43,30.15,29.97,0.0,0.0,0.0,2024-01-06
57,32,44,23,0,5,23,0,7,40,13,25,57,28,42,57,32,44,29.97,29.63,-0.01,0.12,0.12,2024-01-07
51,26,36,5,0,1,5,0,2,23,17,20,51,23,36,51,26,36,30.22,29.84,0.02,0.0,0.0,2024-01-08
58,24,38,7,0,1,7,0,2,24,15,20,58,17,37,58,24,38,30.23,29.97,-0.01,0.0,0.0,2024-01-09
67,31,48,13,0,4,13,0,5,26,17,21,67,26,47,67,31,48,29.98,29.83,-0.01,0.0,0.0,2024-01-10
56,30,44,21,0,5,21,0,7,42,18,27,56,26,43,56,30,44,30.1,29.74,0.01,0.0,0.0,2024-01-11
62,27,41,7,0,2,7,0,2,25,8,18,62,22,40,62,27,41,30.19,30.03,0.0,0.0,0.0,2024-01-12
71,31,48,8,0,2,8,0,3,23,14,19,71,27,47,70,31,48,30.07,29.97,0.0,0.0,0.0,2024-01-13
73,42,55,11,0,3,11,0,4,33,18,24,73,42,55,71,42,55,29.99,29.88,0.0,0.0,0.0,2024-01-14
73,36,50,8,0,2,8,0,2,33,24,28,73,33,50,71,36,50,30.07,29.96,0.0,0.0,0.0,2024-01-15
75,36,51,8,0,2,8,0,2,32,26,28,75,32,51,73,36,51,30.1,30.0,0.0,0.0,0.0,2024-01-16
79,39,56,11,0,3,11,0,4,29,22,26,79,35,55,77,39,55,30.06,29.92,0.0,0.0,0.0,2024-01-17
81,45,59,8,0,2,8,0,3,34,23,28,81,41,59,79,45,59,30.14,30.01,0.0,0.0,0.0,2024-01-18
