tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
71,34,49,6,0,1,8,0,1,38,17,28,71,34,49,70,34,49,29.85,29.69,0.0,0.0,0.0,2024-01-01
63,39,50,5,0,0,6,0,0,42,34,37,63,39,50,63,39,50,29.94,29.8,0.0,0.0,0.0,2024-01-02
70,37,52,8,0,1,11,0,2,39,28,35,70,37,52,70,37,52,29.89,29.62,-0.01,0.0,0.0,2024-01-03
55,35,44,6,0,1,8,0,1,38,28,33,55,35,44,55,35,44,29.83,29.65,0.01,0.0,0.0,2024-01-04
59,32,43,5,0,1,9,0,1,35,26,29,59,32,43,59,32,43,29.85,29.72,0.0,0.0,0.0,2024-01-05
60,30,42,4,0,0,6,0,1,32,22,27,60,30,42,60,30,42,29.89,29.71,0.0,0.0,0.0,2024-01-06
57,32,44,13,0,1,16,0,2,41,10,25,57,32,44,57,32,44,29.72,29.41,0.0,0.24,0.12,2024-01-07
48,27,36,5,0,1,8,0,1,25,15,19,48,27,36,48,27,36,29.96,29.6,0.01,0.0,0.0,2024-01-08
55,23,37,5,0,0,6,0,1,24,14,20,55,23,37,55,23,37,29.96,29.73,-0.01,0.0,0.0,2024-01-09
66,31,47,7,0,1,9,0,2,26,19,22,66,29,47,66,31,47,29.74,29.59,-0.01,0.0,0.0,2024-01-10
56,29,45,11,0,2,17,0,3,43,18,27,56,29,45,56,29,45,29.84,29.52,0.01,0.19,0.06,2024-01-11
59,26,39,4,0,0,7,0,1,26,-1,18,59,26,39,59,26,39,29.92,29.77,0.0,0.0,0.0,2024-01-12
68,31,46,4,0,0,6,0,1,23,13,19,68,31,46,68,31,46,29.82,29.71,0.0,0.0,0.0,2024-01-13
72,38,53,8,0,1,11,0,1,32,19,24,72,38,53,70,38,52,29.75,29.62,0.0,0.0,0.0,2024-01-14
70,35,49,4,0,0,6,0,1,32,24,27,70,33,49,70,35,49,29.81,29.71,0.0,0.0,0.0,2024-01-15
71,35,50,4,0,1,6,0,1,32,24,27,71,34,50,70,35,50,29.84,29.74,0.0,0.0,0.0,2024-01-16
78,37,54,5,0,1,8,0,1,30,20,25,78,35,54,76,37,53,29.8,29.68,0.0,0.0,0.0,2024-01-17
79,43,57,6,0,1,7,0,1,32,23,27,79,42,57,77,43,56,29.87,29.75,0.0,0.0,0.0,2024-01-18
79,42,57,5,0,0,7,0,1,37,28,31,79,42,57,77,42,57,29.86,29.72,0.0,0.0,0.0,2024-01-19
77,44,59,7,0,1,10,0,1,42,19,29,77,44,59,75,44,58,29.76,29.62,0.0,0.0,0.0,2024-01-20
59,49,53,6,0,0,8,0,1,53,39,48,59,49,53,59,49,53,29.72,29.62,0.0,0.83,1.27,2024-01-21
62,43,51,6,0,0,9,0,1,52,42,47,62,43,51,62,43,51,29.71,29.56,0.0,0.24,0.17,2024-01-22
56,44,49,6,0,1,10,0,2,49,42,45,56,43,49,56,44,49,29.71,29.55,0.01,0.38,0.74,2024-01-23
61,43,51,3,0,0,5,0,0,50,37,44,61,43,51,61,43,51,29.84,29.7,0.01,0.38,0.13,2024-01-24
66,41,52,5,0,0,8,0,1,48,40,43,66,41,52,66,41,52,29.85,29.71,0.0,0.0,0.0,2024-01-25
64,38,50,5,0,0,6,0,0,48,38,41,64,38,50,64,38,50,29.98,29.8,0.01,0.0,0.0,2024-01-26
72,35,53,11,0,1,17,0,2,42,32,36,72,33,53,70,35,53,29.98,29.85,0.0,0.0,0.0,2024-01-27
77,37,56,6,0,0,11,0,1,39,33,36,77,37,56,75,37,55,29.94,29.85,0.0,0.0,0.0,2024-01-28
82,42,59,4,0,0,5,0,0,42,32,37,82,42,59,80,42,58,29.94,29.79,0.0,0.0,0.0,2024-01-29
78,46,58,4,0,0,7,0,1,44,31,39,78,46,58,77,46,58,29.87,29.78,0.0,0.0,0.0,2024-01-30
79,46,60,4,0,0,6,0,1,47,38,43,79,46,60,78,46,60,29.86,29.71,0.0,0.0,0.0,2024-01-31
77,47,61,10,0,2,17,0,4,49,36,43,77,47,61,75,47,61,29.74,29.5,-0.01,0.31,0.16,2024-02-01
59,44,50,10,0,2,23,0,3,48,35,43,59,43,50,59,44,50,29.68,29.5,0.0,0.19,0.28,2024-02-02
63,38,48,5,0,1,7,0,1,42,28,36,63,38,48,63,38,48,29.77,29.65,0.0,0.0,0.0,2024-02-03
72,37,51,3,0,0,5,0,1,39,24,34,72,37,51,70,37,51,29.87,29.74,0.0,0.0,0.0,2024-02-04
79,39,57,4,0,0,6,0,1,44,31,36,79,39,57,77,39,57,29.81,29.6,-0.01,0.0,0.0,2024-02-05
71,47,57,11,0,2,18,0,3,47,26,37,71,45,57,70,47,57,29.63,29.48,0.0,0.24,0.09,2024-02-06
56,39,47,11,0,2,17,0,3,46,37,41,56,39,47,56,39,47,29.76,29.55,0.01,0.31,0.28,2024-02-07
63,36,48,11,0,2,16,0,3,44,31,37,63,36,48,63,36,48,29.8,29.64,0.0,0.07,0.02,2024-02-08
61,37,48,7,0,1,9,0,1,43,35,39,61,37,48,61,37,48,29.81,29.63,-0.01,0.24,0.05,2024-02-09
48,34,42,5,0,1,8,0,1,40,33,37,48,34,42,48,34,42,29.78,29.58,0.01,0.43,0.4,2024-02-10
57,33,44,5,0,0,6,0,1,41,30,35,57,33,44,57,33,44,29.89,29.77,0.0,0.07,0.01,2024-02-11
68,31,47,4,0,0,6,0,1,39,29,33,68,31,47,68,31,47,29.89,29.69,-0.01,0.0,0.0,2024-02-12
73,35,52,7,0,1,10,0,1,36,15,30,73,35,52,71,35,51,29.77,29.64,0.0,0.0,0.0,2024-02-13
72,37,52,5,0,1,8,0,1,37,19,31,72,37,52,70,37,52,29.9,29.76,0.0,0.0,0.0,2024-02-14
78,38,54,7,0,1,10,0,1,35,15,30,78,38,54,77,38,54,29.9,29.75,0.0,0.0,0.0,2024-02-15
73,39,54,5,0,1,7,0,1,38,28,33,73,37,54,72,39,54,29.85,29.74,0.0,0.0,0.0,2024-02-16
77,39,55,5,0,1,7,0,1,39,31,35,77,39,55,75,39,55,29.81,29.71,0.0,0.0,0.0,2024-02-17
79,43,58,7,0,1,10,0,1,39,28,35,79,43,58,78,43,58,29.8,29.7,0.0,0.0,0.0,2024-02-18
81,43,59,6,0,1,10,0,2,35,19,29,81,42,59,79,43,58,29.89,29.78,0.0,0.0,0.0,2024-02-19
85,43,61,8,0,1,14,0,1,31,10,23,85,43,61,81,43,61,29.92,29.81,0.0,0.0,0.0,2024-02-20
72,39,58,9,0,1,16,0,2,41,20,31,72,39,58,70,39,58,29.86,29.71,0.0,0.0,0.0,2024-02-21
71,41,55,7,0,1,10,0,1,46,36,39,71,41,55,70,41,55,29.92,29.79,0.0,0.0,0.0,2024-02-22
77,42,57,4,0,0,6,0,1,44,37,39,77,42,57,75,42,57,29.86,29.71,0.0,0.0,0.0,2024-02-23
86,43,61,5,0,1,8,0,1,42,24,37,86,43,61,82,43,61,29.85,29.76,0.0,0.0,0.0,2024-02-24
90,50,68,7,0,1,11,0,1,45,33,38,90,50,68,86,50,67,29.87,29.74,0.0,0.0,0.0,2024-02-25
80,59,69,8,0,1,13,0,2,51,34,40,80,59,69,79,59,68,29.85,29.62,-0.01,0.07,0.02,2024-02-26
72,54,64,9,0,2,14,0,3,43,33,38,72,54,64,70,54,64,29.75,29.59,0.0,0.0,0.0,2024-02-27
70,46,53,10,0,1,15,0,1,52,40,46,70,46,53,70,46,53,29.81,29.67,0.0,0.61,0.58,2024-02-28
72,43,56,5,0,1,6,0,1,48,40,44,72,43,56,71,43,56,29.88,29.78,0.0,0.0,0.0,2024-02-29
80,43,59,5,0,1,7,0,1,45,28,40,80,43,59,78,43,59,29.89,29.75,0.0,0.0,0.0,2024-03-01
78,43,61,9,0,2,15,0,3,39,19,30,78,43,61,76,43,60,29.81,29.67,0.0,0.0,0.0,2024-03-02
76,50,62,8,0,1,13,0,2,42,20,32,76,50,62,74,50,61,29.75,29.63,0.0,0.0,0.0,2024-03-03
75,43,58,7,0,1,11,0,1,46,33,40,75,43,58,73,43,57,29.76,29.67,0.0,0.0,0.0,2024-03-04
81,42,58,5,0,1,8,0,1,41,25,35,81,42,58,79,42,58,29.78,29.65,0.0,0.0,0.0,2024-03-05
68,48,58,7,0,1,9,0,1,40,26,34,68,48,58,68,48,58,29.7,29.54,0.0,0.0,0.0,2024-03-06
63,40,49,11,0,1,15,0,2,50,28,39,63,40,49,63,40,49,29.71,29.54,0.01,0.47,0.41,2024-03-07
62,43,50,6,0,0,8,0,1,47,40,43,62,43,50,62,43,50,29.83,29.68,0.0,0.17,0.09,2024-03-08
73,39,54,7,0,1,9,0,1,46,30,39,73,39,54,71,39,54,29.88,29.74,0.0,0.0,0.0,2024-03-09
79,40,59,8,0,1,10,0,1,42,26,35,79,40,59,78,40,59,29.82,29.69,0.0,0.0,0.0,2024-03-10
78,44,60,8,0,1,13,0,1,38,26,33,78,44,60,77,44,60,29.79,29.7,0.0,0.0,0.0,2024-03-11
81,42,61,9,0,1,13,0,2,36,24,30,81,42,61,79,42,60,29.82,29.67,0.0,0.0,0.0,2024-03-12
76,49,61,10,0,2,15,0,3,41,30,36,76,49,61,74,49,61,29.71,29.55,-0.01,0.0,0.0,2024-03-13
75,44,60,8,0,1,13,0,2,45,34,38,75,44,60,73,44,60,29.59,29.4,0.0,0.0,0.0,2024-03-14
62,46,54,14,0,2,21,0,3,51,35,43,62,46,54,62,46,54,29.71,29.49,0.01,0.35,0.1,2024-03-15
70,38,52,6,0,1,8,0,1,44,28,37,70,38,52,70,38,52,29.74,29.64,0.0,0.0,0.0,2024-03-16
71,38,53,5,0,1,8,0,1,41,29,36,71,38,53,70,38,53,29.76,29.65,0.0,0.0,0.0,2024-03-17
80,38,57,7,0,1,13,0,1,42,25,36,80,38,57,78,38,56,29.77,29.65,0.0,0.0,0.0,2024-03-18
78,42,58,7,0,1,9,0,1,39,25,34,78,42,58,76,42,58,29.79,29.68,0.0,0.0,0.0,2024-03-19
77,47,60,5,0,1,7,0,1,39,33,35,77,47,60,75,47,59,29.76,29.66,0.0,0.0,0.0,2024-03-20
79,47,62,6,0,1,11,0,1,42,34,38,79,47,62,77,47,61,29.84,29.74,0.0,0.0,0.0,2024-03-21
85,46,64,5,0,1,8,0,1,41,30,37,85,46,64,82,46,63,29.85,29.68,0.0,0.0,0.0,2024-03-22
76,54,64,13,0,2,20,0,3,39,26,34,76,54,64,74,54,64,29.71,29.43,-0.01,0.0,0.0,2024-03-23
63,43,53,12,0,3,18,0,5,47,29,37,63,40,53,63,43,53,29.54,29.36,0.0,0.35,0.23,2024-03-24
64,41,51,10,0,2,14,0,2,41,31,37,64,39,51,64,41,51,29.69,29.48,0.01,0.0,0.0,2024-03-25
68,45,55,10,0,2,14,0,3,43,31,37,68,45,55,68,45,55,29.81,29.64,0.01,0.0,0.0,2024-03-26
75,41,57,5,0,1,8,0,1,42,27,36,75,41,57,73,41,56,29.93,29.8,0.0,0.0,0.0,2024-03-27
84,42,62,6,0,1,9,0,1,40,26,34,84,42,62,81,42,61,29.84,29.64,-0.01,0.0,0.0,2024-03-28
83,55,68,10,0,2,16,0,3,38,19,29,83,55,68,80,55,67,29.69,29.57,0.0,0.0,0.0,2024-03-29
81,48,65,13,0,3,22,0,5,41,24,32,81,48,65,80,48,65,29.65,29.48,-0.01,0.0,0.0,2024-03-30
68,47,56,13,0,3,16,0,5,52,38,43,68,46,56,68,47,56,29.6,29.51,0.0,0.35,0.37,2024-03-31
61,44,50,8,0,1,13,0,2,46,39,44,61,41,50,61,44,50,29.81,29.56,0.01,0.66,0.22,2024-04-01
71,45,56,6,0,1,11,0,1,48,40,44,71,45,56,70,45,56,29.97,29.79,0.01,0.0,0.0,2024-04-02
