tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
60,37,47,16,0,5,18,0,5,34,9,20,60,34,46,60,37,47,30.25,30.15,0.0,0.0,0.0,2024-01-01
53,30,42,12,0,2,14,0,2,36,28,32,53,30,41,53,30,42,30.31,30.18,0.0,0.0,0.0,2024-01-02
59,30,45,16,0,4,18,0,4,36,20,30,59,28,45,59,30,45,30.28,30.04,-0.01,0.0,0.0,2024-01-03
43,29,36,16,0,3,16,0,3,34,26,30,43,26,35,43,29,36,30.17,30.01,0.01,0.06,0.07,2024-01-04
46,26,35,12,0,2,13,0,2,33,21,26,46,24,34,46,26,35,30.18,30.12,0.0,0.0,0.0,2024-01-05
51,22,36,11,0,2,12,0,2,29,16,23,51,21,35,51,22,36,30.22,30.1,0.0,0.0,0.0,2024-01-06
50,27,38,21,0,8,23,0,9,32,-4,15,47,18,33,50,27,38,30.1,29.82,-0.01,0.0,0.0,2024-01-07
35,18,27,14,0,4,16,0,4,17,8,12,35,13,24,35,18,27,30.25,29.93,0.01,0.06,0.01,2024-01-08
48,16,32,8,0,2,9,0,2,22,3,13,48,12,31,48,16,32,30.26,30.09,-0.01,0.06,0.02,2024-01-09
56,30,44,16,0,4,19,0,5,24,9,17,56,27,43,56,30,44,30.1,30.0,0.0,0.0,0.0,2024-01-10
46,23,37,20,0,8,23,0,9,37,12,22,42,21,33,46,23,37,30.17,29.91,0.01,0.06,0.01,2024-01-11
50,20,34,11,0,2,11,0,2,21,-6,10,50,16,33,50,20,34,30.23,30.16,0.0,0.0,0.0,2024-01-12
60,28,42,13,0,2,15,0,2,17,5,12,60,24,42,60,28,42,30.19,30.12,0.0,0.0,0.0,2024-01-13
61,32,48,13,0,3,17,0,3,31,10,20,61,32,48,61,32,48,30.15,30.08,0.0,0.0,0.0,2024-01-14
60,29,43,16,0,3,16,0,3,27,17,22,60,26,43,60,29,43,30.21,30.13,0.0,0.0,0.0,2024-01-15
62,30,45,10,0,2,11,0,2,27,10,20,62,27,45,62,30,45,30.22,30.17,0.0,0.0,0.0,2024-01-16
66,33,49,16,0,3,17,0,3,22,12,18,66,32,49,66,33,49,30.22,30.11,0.0,0.0,0.0,2024-01-17
68,36,51,12,0,2,12,0,2,28,15,22,68,34,51,68,36,51,30.28,30.2,0.0,0.0,0.0,2024-01-18
69,36,52,12,0,3,12,0,3,29,20,25,69,36,52,69,36,52,30.28,30.18,0.0,0.0,0.0,2024-01-19
65,41,54,20,0,4,21,0,5,39,14,22,65,40,54,65,41,54,30.19,30.07,-0.01,0.0,0.0,2024-01-20
52,42,46,19,0,5,21,0,5,45,34,41,52,38,44,52,42,46,30.11,30.03,0.0,0.42,0.84,2024-01-21
52,39,45,20,0,5,21,0,5,44,38,41,52,34,43,52,39,45,30.1,30.02,0.0,0.3,0.22,2024-01-22
47,37,41,12,0,3,13,0,4,43,35,39,47,29,40,47,37,41,30.1,29.98,0.0,0.42,0.42,2024-01-23
50,36,42,10,0,2,11,0,2,42,35,38,50,35,42,50,36,42,30.23,30.09,0.01,0.06,0.03,2024-01-24
