tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
88,62,76,9,0,2,13,0,3,29,22,24,88,62,76,84,62,74,29.85,29.75,0.0,0.0,0.0,2024-05-11
88,54,72,9,0,2,13,0,2,33,23,28,88,54,72,84,54,70,29.87,29.78,0.0,0.0,0.0,2024-05-12
93,53,76,7,0,1,10,0,1,41,26,32,93,53,76,88,53,74,29.92,29.79,0.0,0.0,0.0,2024-05-13
97,54,78,9,0,1,13,0,2,37,23,30,97,54,78,91,54,75,29.87,29.72,0.0,0.0,0.0,2024-05-14
93,60,77,11,0,2,19,0,2,48,28,36,93,60,77,89,60,75,29.84,29.7,0.0,0.0,0.0,2024-05-15
86,60,74,12,0,2,19,0,3,46,33,37,86,60,74,83,60,73,29.87,29.79,0.0,0.0,0.0,2024-05-16
95,55,78,7,0,1,13,0,2,40,30,35,95,55,78,90,55,76,29.91,29.79,0.0,0.0,0.0,2024-05-17
99,57,81,8,0,1,11,0,2,44,26,33,99,57,81,93,57,78,29.93,29.82,0.0,0.0,0.0,2024-05-18
96,59,81,9,0,1,12,0,2,37,21,28,96,59,81,91,59,78,29.96,29.83,0.0,0.0,0.0,2024-05-19
95,61,77,13,0,2,19,0,2,38,21,30,95,61,77,89,61,74,29.91,29.83,0.0,0.0,0.0,2024-05-20
94,56,78,9,0,1,13,0,2,41,17,30,94,56,78,89,56,76,29.87,29.77,0.0,0.0,0.0,2024-05-21
94,53,76,8,0,1,10,0,2,36,8,23,94,53,76,88,53,74,29.88,29.8,0.0,0.0,0.0,2024-05-22
94,46,74,7,0,1,11,0,2,28,6,16,94,46,74,87,46,72,29.86,29.77,0.0,0.0,0.0,2024-05-23
97,56,78,7,0,1,11,0,2,36,19,25,97,56,78,90,56,75,29.87,29.75,0.0,0.0,0.0,2024-05-24
90,57,76,8,0,1,12,0,2,35,24,31,90,57,76,86,57,74,29.88,29.8,0.0,0.0,0.0,2024-05-25
97,51,76,8,0,1,11,0,2,38,25,30,97,51,76,91,51,73,29.93,29.84,0.0,0.0,0.0,2024-05-26
101,56,81,7,0,1,10,0,1,38,15,28,101,56,81,94,56,78,29.98,29.87,0.0,0.0,0.0,2024-05-27
103,58,84,9,0,1,16,0,1,39,14,27,103,58,84,96,58,80,29.96,29.86,0.0,0.0,0.0,2024-05-28
100,60,82,8,0,1,11,0,2,36,14,24,100,60,82,93,60,79,29.98,29.85,0.0,0.0,0.0,2024-05-29
102,56,82,8,0,1,10,0,1,37,19,26,102,56,82,94,56,79,29.93,29.81,0.0,0.0,0.0,2024-05-30
104,60,84,0,0,0,0,0,0,41,17,27,104,60,84,96,60,81,29.88,29.77,0.0,0.0,0.0,2024-05-31
103,59,84,5,0,0,10,0,0,38,16,26,103,59,84,95,59,81,29.87,29.76,0.0,0.0,0.0,2024-06-01
101,57,83,7,0,1,12,0,1,37,14,24,101,57,83,93,57,79,29.87,29.77,0.0,0.0,0.0,2024-06-02
99,63,83,8,0,1,11,0,2,38,21,30,99,63,83,92,63,80,29.86,29.74,0.0,0.0,0.0,2024-06-03
100,62,83,7,0,1,10,0,1,43,24,33,100,62,83,95,62,80,29.88,29.78,0.0,0.0,0.0,2024-06-04
104,60,86,8,0,1,10,0,1,43,27,35,104,60,86,98,60,83,29.91,29.8,0.0,0.0,0.0,2024-06-05
107,65,89,8,0,1,10,0,1,49,39,42,107,65,89,102,65,86,29.9,29.77,0.0,0.0,0.0,2024-06-06
113,69,91,8,0,1,11,0,1,52,27,36,113,69,91,105,68,87,29.89,29.77,0.0,0.0,0.0,2024-06-07
105,65,87,8,0,1,12,0,2,42,25,31,105,65,87,98,65,83,29.91,29.82,0.0,0.0,0.0,2024-06-08
103,66,85,10,0,1,14,0,2,42,26,31,103,66,85,96,66,81,29.96,29.83,0.0,0.0,0.0,2024-06-09
105,60,84,7,0,1,11,0,2,41,22,34,105,60,84,99,60,81,29.93,29.8,0.0,0.0,0.0,2024-06-10
107,62,88,7,0,1,11,0,2,45,26,35,107,62,88,101,62,85,29.91,29.79,0.0,0.0,0.0,2024-06-11
108,64,90,9,0,1,12,0,2,38,24,30,108,64,90,101,64,86,29.96,29.86,0.0,0.0,0.0,2024-06-12
103,75,90,9,0,1,11,0,2,38,28,33,103,75,90,97,73,86,29.96,29.87,0.0,0.0,0.0,2024-06-13
105,73,89,9,0,1,13,0,2,45,8,27,105,73,89,96,71,85,29.91,29.8,0.0,0.0,0.0,2024-06-14
108,61,88,8,0,1,12,0,2,39,26,31,108,61,88,100,61,84,29.88,29.74,0.0,0.0,0.0,2024-06-15
108,66,90,7,0,1,13,0,2,44,29,36,108,66,90,101,66,86,29.82,29.66,0.0,0.0,0.0,2024-06-16
