tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,date
68,41,52,22,0,6,22,0,8,39,18,26,68,34,51,68,41,52,30.19,30.04,0.0,0.0,0.0,2024-01-01
62,40,49,12,0,3,12,0,4,39,33,36,62,36,49,62,40,49,30.3,30.14,0.0,0.0,0.0,2024-01-02
68,37,51,21,0,7,21,0,8,39,29,34,68,31,49,68,37,51,30.24,29.95,-0.01,0.03,0.03,2024-01-03
51,36,43,20,0,5,20,0,6,39,29,34,51,32,41,51,36,43,30.17,29.97,0.01,0.03,0.0,2024-01-04
56,33,43,18,0,4,18,0,5,35,27,30,56,28,42,56,33,43,30.19,30.06,0.0,0.0,0.0,2024-01-05
58,32,43,11,0,4,11,0,5,32,22,27,58,24,41,58,32,43,30.24,30.05,0.0,0.0,0.0,2024-01-06
56,33,41,31,0,7,31,0,8,35,13,25,56,26,38,56,33,41,30.05,29.71,-0.01,0.09,0.14,2024-01-07
46,24,35,14,0,4,14,0,5,23,16,19,46,21,33,46,24,35,30.31,29.91,0.02,0.0,0.0,2024-01-08
57,26,38,15,0,5,15,0,6,25,15,21,57,15,34,57,26,38,30.31,30.06,-0.01,0.0,0.0,2024-01-09
62,31,44,13,0,4,13,0,5,25,19,23,62,25,42,62,31,44,30.06,29.92,-0.01,0.0,0.0,2024-01-10
52,32,41,38,0,9,38,0,11,39,20,27,52,26,38,52,32,41,30.18,29.83,0.01,0.02,0.03,2024-01-11
57,25,39,11,0,4,11,0,5,25,8,18,57,18,37,57,25,39,30.26,30.12,0.0,0.0,0.0,2024-01-12
67,32,44,13,0,5,13,0,7,23,9,17,67,25,40,67,32,44,30.16,30.07,0.0,0.0,0.0,2024-01-13
68,40,59,15,0,5,15,0,7,31,15,26,68,35,59,68,40,59,30.07,29.96,0.0,0.0,0.0,2024-01-14
69,36,61,11,0,4,11,0,5,38,25,28,69,30,60,69,36,61,30.15,30.06,0.0,0.0,0.0,2024-01-15
69,37,56,13,0,4,13,0,5,31,24,27,69,31,55,69,37,56,30.18,30.1,0.0,0.0,0.0,2024-01-16
74,40,53,14,0,6,14,0,7,29,21,25,74,33,51,72,40,52,30.14,30.03,0.0,0.0,0.0,2024-01-17
77,43,56,11,0,5,11,0,6,30,24,27,77,38,55,75,43,56,30.22,30.12,0.0,0.0,0.0,2024-01-18
77,44,59,18,0,6,18,0,7,35,28,30,77,40,58,76,44,58,30.21,30.07,0.0,0.0,0.0,2024-01-19
74,47,60,21,0,5,21,0,6,36,22,29,74,44,60,71,47,60,30.1,29.95,-0.01,0.0,0.0,2024-01-20
58,48,51,12,0,4,12,0,5,49,36,46,58,44,51,58,48,51,30.06,29.96,0.0,0.19,0.74,2024-01-21
61,45,52,14,0,3,14,0,3,48,43,45,61,43,52,61,45,52,30.05,29.91,0.0,0.1,0.16,2024-01-22
