Name,Latitude,Longitude,Date,Prism_precipitation,date,Wunderground_precipitation_data
Hilton Ranch - KAZVAIL289,31.88,-110.66,,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,,4.69309997558594,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,,1.10399997234344,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,,0.74729996919632,,
Quintas - KAZSAHUA55,31.94,-110.99,,0.137999996542931,,
Elephant Head - KAZAMADO2,31.74,-111.01,,0.582300007343292,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,,0.916399955749512,,
Empire - KAZVAIL66,31.91,-110.65,,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-01,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-01,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-01,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-01,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-01,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-01,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-01,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-01,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-01,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-01,0.0657999962568283,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-02,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-02,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-02,0.0118999993428588,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-02,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-02,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-02,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-02,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-02,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-02,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-02,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-03,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-03,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-03,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-03,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-03,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-03,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-03,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-03,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-03,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-03,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-04,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-04,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-04,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-04,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-04,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-04,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-04,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-04,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-04,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-04,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-05,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-05,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-05,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-05,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-05,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-05,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-05,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-05,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-05,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-05,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-06,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-06,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-06,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-06,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-06,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-06,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-06,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-06,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-06,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-06,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-07,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-07,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-07,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-07,0.105499997735023,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-07,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-07,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-07,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-07,0.0,,
