Station,Date,Observation,Estimated,End Date,Cumulative Precip,Category
NE,04/01/2024,1.22 (Wet),1.54 (Very Wet),04/01/2024,0.8730110930011472,Dry
NE,05/01/2024,1.22 (Wet),1.75 (Wet),05/01/2024,1.304880150591107,Wet
NE,06/01/2024,1.22 (Wet),1.81 (Wet),06/01/2024,1.38188273417795,Wet
NE,07/01/2024,2.64 (Very Wet),2.87 (Very Wet),07/01/2024,2.082867377937129,Wet
NE,08/01/2024,4.64 (Wet),5.66 (Wet),08/01/2024,4.394693313897294,Very Wet
NE,09/01/2024,6.98 (Wet),7.78 (Wet),09/01/2024,6.436983807584522,Very Wet
Muhlenbergia,04/01/2024,1.67 (Very Wet),1.22 (Wet),04/01/2024,0.8144375528827689,Dry
Muhlenbergia,05/01/2024,1.68 (Wet),1.44 (Wet),05/01/2024,1.234822431146171,Wet
Muhlenbergia,06/01/2024,1.68 (Wet),1.50 (Wet),06/01/2024,1.311308260665885,Wet
Muhlenbergia,07/01/2024,2.96 (Very Wet),2.46 (Wet),07/01/2024,2.051099619047698,Wet
Muhlenbergia,08/01/2024,6.16 (Wet),5.66 (Wet),08/01/2024,4.56262675153096,Very Wet
Muhlenbergia,09/01/2024,7.93 (Wet),8.04 (Wet),09/01/2024,6.80147554688322,Very Wet
Amado,04/01/2024,1.81 (Very Wet),1.16 (Wet),04/01/2024,0.7977489974653658,Dry
Amado,05/01/2024,1.81 (Wet),1.34 (Wet),05/01/2024,1.180485476613381,Wet
Amado,06/01/2024,1.81 (Wet),1.39 (Wet),06/01/2024,1.25439080397431,Wet
Amado,07/01/2024,3.70 (Very Wet),2.30 (Wet),07/01/2024,1.992686075103667,Wet
Amado,08/01/2024,6.94 (Wet),5.51 (Wet),08/01/2024,4.523774652061251,Very Wet
Amado,09/01/2024,8.42 (Wet),7.75 (Wet),09/01/2024,6.665841428261102,Very Wet
Rodent Station,04/01/2024,1.70 (Very Wet),1.18 (Wet),04/01/2024,0.7834734188291926,Dry
Rodent Station,05/01/2024,1.70 (Wet),1.45 (Wet),05/01/2024,1.213272319383558,Wet
Rodent Station,06/01/2024,1.70 (Wet),1.51 (Wet),06/01/2024,1.289637105930476,Wet
Rodent Station,07/01/2024,4.20 (Very Wet),2.40 (Wet),07/01/2024,2.025484416079478,Wet
Rodent Station,08/01/2024,6.77 (Wet),5.66 (Wet),08/01/2024,4.627116750268858,Very Wet
Rodent Station,09/01/2024,9.03 (Dry),8.11 (Dry),09/01/2024,6.843809789486407,Very Wet
Ruelas,04/01/2024,1.92 (Wet),1.79 (Wet),04/01/2024,0.98872829047792,Dry
Ruelas,05/01/2024,1.92 (Wet),2.27 (Wet),05/01/2024,1.597301520446744,Wet
Ruelas,06/01/2024,1.92 (Wet),2.32 (Wet),06/01/2024,1.670558006028452,Wet
Ruelas,07/01/2024,3.59 (Wet),3.55 (Wet),07/01/2024,2.492145789313358,Wet
Ruelas,08/01/2024,7.08 (Dry),7.14 (Dry),08/01/2024,5.321976266972402,Very Wet
Ruelas,09/01/2024,9.69 (Dry),9.86 (Dry),09/01/2024,7.801037136287174,Very Wet
Huerfano Butte,04/01/2024,1.74 (Very Wet),1.57 (Very Wet),04/01/2024,0.97451605633213,Dry
Huerfano Butte,05/01/2024,1.74 (Wet),1.80 (Wet),05/01/2024,1.484111361150383,Wet
Huerfano Butte,06/01/2024,1.74 (Wet),1.85 (Wet),06/01/2024,1.558652326698544,Wet
Huerfano Butte,07/01/2024,2.87 (Wet),2.91 (Wet),07/01/2024,2.345289278270804,Wet
Huerfano Butte,08/01/2024,5.97 (Wet),5.97 (Wet),08/01/2024,4.891589656059386,Very Wet
Huerfano Butte,09/01/2024,8.68 (Wet),8.36 (Wet),09/01/2024,7.262313077039065,Very Wet
45,04/01/2024,1.75 (Very Wet),1.22 (Wet),04/01/2024,0.8155097325253134,Dry
45,05/01/2024,1.75 (Wet),1.44 (Wet),05/01/2024,1.279546355775363,Wet
45,06/01/2024,1.75 (Wet),1.50 (Wet),06/01/2024,1.355910854403383,Wet
45,07/01/2024,3.25 (Very Wet),2.46 (Wet),07/01/2024,2.105580536696383,Wet
45,08/01/2024,6.55 (Wet),5.66 (Wet),08/01/2024,4.740025332262254,Very Wet
45,09/01/2024,8.53 (Wet),8.04 (Wet),09/01/2024,7.078449043390187,Very Wet
