Name,Latitude,Longitude,Date,ppt_prism,Corrected_PRISM
Florida Canyon Station,31.7612,-110.846,2024-04-01,0.493007629049453,0.29913668776360125
Ruelas,31.82946,-110.807,2024-04-01,0.498354413913106,0.30186140933011885
45,31.81804,-110.861,2024-04-01,0.360795089747964,0.23176117773556246
Huerfano Butte,31.85663,-110.823,2024-04-01,0.426829221645372,0.26541217135048156
Muhlenbergia,31.84393,-110.878,2024-04-01,0.320909734961136,0.21143560093619493
Rodent Station,31.8109,-110.884,2024-04-01,0.319997277777693,0.21097061275551235
Amado,31.80618,-110.946,2024-04-01,0.273872068236666,0.187465205973405
NE,31.90731,-110.883,2024-04-01,0.335896537728531,0.2190728756264594
Florida Canyon Station,31.7612,-110.846,2024-04-02,0.417892348004696,0.2608579405431931
Ruelas,31.82946,-110.807,2024-04-02,0.384853301712129,0.24402124255250096
45,31.81804,-110.861,2024-04-02,0.247228525406712,0.17388765654726046
Huerfano Butte,31.85663,-110.823,2024-04-02,0.273185724915079,0.18711544541672426
Muhlenbergia,31.84393,-110.878,2024-04-02,0.213265054737902,0.15657987189443487
Rodent Station,31.8109,-110.884,2024-04-02,0.220935380587186,0.16048866994723
Amado,31.80618,-110.946,2024-04-02,0.18340813618415,0.14136478619944284
NE,31.90731,-110.883,2024-04-02,0.229369663800052,0.16478678067250652
Florida Canyon Station,31.7612,-110.846,2024-04-03,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-03,0.0,0.0479
45,31.81804,-110.861,2024-04-03,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-03,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-03,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-03,0.0,0.0479
Amado,31.80618,-110.946,2024-04-03,0.0,0.0479
NE,31.90731,-110.883,2024-04-03,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-04,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-04,0.0,0.0479
45,31.81804,-110.861,2024-04-04,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-04,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-04,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-04,0.0,0.0479
Amado,31.80618,-110.946,2024-04-04,0.0,0.0479
NE,31.90731,-110.883,2024-04-04,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-05,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-05,0.0,0.0479
45,31.81804,-110.861,2024-04-05,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-05,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-05,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-05,0.0,0.0479
Amado,31.80618,-110.946,2024-04-05,0.0,0.0479
NE,31.90731,-110.883,2024-04-05,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-06,0.0507936295633392,0.07378443362547765
Ruelas,31.82946,-110.807,2024-04-06,0.0290238973434149,0.06269057808620423
45,31.81804,-110.861,2024-04-06,0.0205804336091573,0.05838778896722656
Huerfano Butte,31.85663,-110.823,2024-04-06,0.0179899687029965,0.05706768805104702
Muhlenbergia,31.84393,-110.878,2024-04-06,0.0087704188241213,0.052369405432772215
Rodent Station,31.8109,-110.884,2024-04-06,0.020485906302243,0.05833961785162303
Amado,31.80618,-110.946,2024-04-06,0.0117866698884764,0.053906486975167575
NE,31.90731,-110.883,2024-04-06,0.0002146807123107,0.04800940129099353
Florida Canyon Station,31.7612,-110.846,2024-04-07,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-07,0.0,0.0479
45,31.81804,-110.861,2024-04-07,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-07,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-07,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-07,0.0,0.0479
Amado,31.80618,-110.946,2024-04-07,0.0,0.0479
NE,31.90731,-110.883,2024-04-07,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-08,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-08,0.0,0.0479
45,31.81804,-110.861,2024-04-08,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-08,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-08,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-08,0.0,0.0479
Amado,31.80618,-110.946,2024-04-08,0.0,0.0479
NE,31.90731,-110.883,2024-04-08,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-09,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-09,0.0,0.0479
45,31.81804,-110.861,2024-04-09,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-09,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-09,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-09,0.0,0.0479
Amado,31.80618,-110.946,2024-04-09,0.0,0.0479
NE,31.90731,-110.883,2024-04-09,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-10,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-10,0.0,0.0479
45,31.81804,-110.861,2024-04-10,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-10,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-10,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-10,0.0,0.0479
Amado,31.80618,-110.946,2024-04-10,0.0,0.0479
NE,31.90731,-110.883,2024-04-10,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-11,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-11,0.0,0.0479
45,31.81804,-110.861,2024-04-11,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-11,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-11,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-11,0.0,0.0479
Amado,31.80618,-110.946,2024-04-11,0.0,0.0479
NE,31.90731,-110.883,2024-04-11,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-12,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-12,0.0,0.0479
45,31.81804,-110.861,2024-04-12,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-12,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-12,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-12,0.0,0.0479
Amado,31.80618,-110.946,2024-04-12,0.0,0.0479
NE,31.90731,-110.883,2024-04-12,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-13,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-13,0.0,0.0479
45,31.81804,-110.861,2024-04-13,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-13,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-13,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-13,0.0,0.0479
Amado,31.80618,-110.946,2024-04-13,0.0,0.0479
NE,31.90731,-110.883,2024-04-13,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-14,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-14,0.0,0.0479
45,31.81804,-110.861,2024-04-14,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-14,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-14,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-14,0.0,0.0479
Amado,31.80618,-110.946,2024-04-14,0.0,0.0479
NE,31.90731,-110.883,2024-04-14,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-15,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-15,0.0,0.0479
45,31.81804,-110.861,2024-04-15,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-15,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-15,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-15,0.0,0.0479
Amado,31.80618,-110.946,2024-04-15,0.0,0.0479
NE,31.90731,-110.883,2024-04-15,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-16,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-16,0.0,0.0479
45,31.81804,-110.861,2024-04-16,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-16,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-16,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-16,0.0,0.0479
Amado,31.80618,-110.946,2024-04-16,0.0,0.0479
NE,31.90731,-110.883,2024-04-16,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-17,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-17,0.0,0.0479
