Name,Latitude,Longitude,Date,ppt_prism,Predicted_Rainfall
Ruelas,31.82946,-110.807,2024-04-01,0.498354413913106,0.33001467468525103
45,31.81804,-110.861,2024-04-01,0.360795089747964,0.25600775828440464
Ruelas,31.82946,-110.807,2024-04-02,0.384853301712129,0.2689510763211254
45,31.81804,-110.861,2024-04-02,0.247228525406712,0.1949089466688111
Ruelas,31.82946,-110.807,2024-04-03,0.0,0.0619
45,31.81804,-110.861,2024-04-03,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-04,0.0,0.0619
45,31.81804,-110.861,2024-04-04,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-05,0.0,0.0619
45,31.81804,-110.861,2024-04-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-06,0.0290238973434149,0.07751485677075722
45,31.81804,-110.861,2024-04-06,0.0205804336091573,0.07297227328172662
Ruelas,31.82946,-110.807,2024-04-07,0.0,0.0619
45,31.81804,-110.861,2024-04-07,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-08,0.0,0.0619
45,31.81804,-110.861,2024-04-08,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-09,0.0,0.0619
45,31.81804,-110.861,2024-04-09,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-10,0.0,0.0619
45,31.81804,-110.861,2024-04-10,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-11,0.0,0.0619
45,31.81804,-110.861,2024-04-11,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-12,0.0,0.0619
45,31.81804,-110.861,2024-04-12,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-13,0.0,0.0619
45,31.81804,-110.861,2024-04-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-14,0.0,0.0619
45,31.81804,-110.861,2024-04-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-15,0.0,0.0619
45,31.81804,-110.861,2024-04-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-16,0.0,0.0619
45,31.81804,-110.861,2024-04-16,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-17,0.0,0.0619
45,31.81804,-110.861,2024-04-17,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-18,0.0,0.0619
45,31.81804,-110.861,2024-04-18,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-19,0.0,0.0619
45,31.81804,-110.861,2024-04-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-20,0.0,0.0619
45,31.81804,-110.861,2024-04-20,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-21,0.0,0.0619
45,31.81804,-110.861,2024-04-21,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-22,0.0,0.0619
45,31.81804,-110.861,2024-04-22,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-23,0.0,0.0619
45,31.81804,-110.861,2024-04-23,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-24,0.0,0.0619
45,31.81804,-110.861,2024-04-24,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-25,0.0,0.0619
45,31.81804,-110.861,2024-04-25,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-26,0.0,0.0619
45,31.81804,-110.861,2024-04-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-27,0.0,0.0619
45,31.81804,-110.861,2024-04-27,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-28,0.0,0.0619
45,31.81804,-110.861,2024-04-28,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-29,0.0,0.0619
45,31.81804,-110.861,2024-04-29,0.0,0.0619
Ruelas,31.82946,-110.807,2024-04-30,0.0,0.0619
45,31.81804,-110.861,2024-04-30,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-01,0.0,0.0619
45,31.81804,-110.861,2024-05-01,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-02,0.0,0.0619
45,31.81804,-110.861,2024-05-02,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-03,0.0,0.0619
45,31.81804,-110.861,2024-05-03,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-04,0.0,0.0619
45,31.81804,-110.861,2024-05-04,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-05,0.0,0.0619
45,31.81804,-110.861,2024-05-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-06,0.0,0.0619
45,31.81804,-110.861,2024-05-06,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-07,0.0,0.0619
45,31.81804,-110.861,2024-05-07,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-08,0.0,0.0619
45,31.81804,-110.861,2024-05-08,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-09,0.0,0.0619
45,31.81804,-110.861,2024-05-09,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-10,0.0,0.0619
45,31.81804,-110.861,2024-05-10,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-11,0.0,0.0619
45,31.81804,-110.861,2024-05-11,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-12,0.0,0.0619
45,31.81804,-110.861,2024-05-12,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-13,0.0,0.0619
